UpdateTime,UpdateInterval,AuthorityCode,ETagPairID,StartETagStatus,EndETagStatus,VehicleType,TravelTime,StandardDeviation,SpaceMeanSpeed,VehicleCount,StartTime,EndTime,DataCollectTime,vd_avg_Speed,vd_avg_Occupancy,vd_avg_Volume,vd_avg_VSpeed,vd_LaneID,vd_week_day,rain,temp
2025-05-22T16:20:00Z,300,NFB,01H0305S-01H0334S,0,0,31,104,0,97,13,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,97,3.33333333333333,5,95.3333333333333,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0305S-01H0334S,0,0,31,104,0,97,13,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,107.333333333333,2.33333333333333,4.33333333333333,104.333333333333,2,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0305S-01H0334S,0,0,31,104,0,97,13,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,117,1,3,116,3,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0305S-01H0334S,0,0,32,98,0,104,1,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,111.333333333333,2,3.33333333333333,113.333333333333,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0305S-01H0334S,0,0,32,98,0,104,1,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,97,3.33333333333333,5,95.3333333333333,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0305S-01H0334S,0,0,32,98,0,104,1,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,107.333333333333,2.33333333333333,4.33333333333333,104.333333333333,2,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0305S-01H0334S,0,0,32,98,0,104,1,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,117,1,3,116,3,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,31,99,0,93,16,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,104.5,1.5,2.5,103.5,0,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,31,99,0,93,16,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,89,2,3,88,1,5,0,24
2025-05-22T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,32,96,0,95,10,2025-05-22T16:05:00Z,2025-05-22T16:10:00Z,2025-05-22T16:10:00Z,104.5,1.5,2.5,103.5,0,5,0,24
