UpdateTime,UpdateInterval,AuthorityCode,ETagPairID,StartETagStatus,EndETagStatus,VehicleType,TravelTime,StandardDeviation,SpaceMeanSpeed,VehicleCount,StartTime,EndTime,DataCollectTime,vd_avg_Speed,vd_avg_Occupancy,vd_avg_Volume,vd_avg_VSpeed,vd_LaneID,vd_week_day,rain,temp
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,95,0,97,28,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,102,2,4,101,0,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,95,0,97,28,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,103.5,1,2.5,102.5,1,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,95,0,97,28,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,99,3,7,95,2,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,95,0,97,7,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,102,2,4,101,0,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,95,0,97,7,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,103.5,1,2.5,102.5,1,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,95,0,97,7,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,99,3,7,95,2,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,41,69,0,133,1,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,99,3,1,125,2,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,42,103,0,90,1,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,99,3,1,125,2,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,57,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,104,4,4,103,0,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,57,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,91,6,9,90,1,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,32,29,0,97,5,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,104,4,4,103,0,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,32,29,0,97,5,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,91,6,9,90,1,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,221,0,100,52,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,105.625,3.125,5.125,104.75,0,7,1,20.75
2025-05-24T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,221,0,100,52,2025-05-24T16:00:00Z,2025-05-24T16:05:00Z,2025-05-24T16:05:00Z,93,5.5,6.375,91.875,1,7,1,20.75
