UpdateTime,UpdateInterval,AuthorityCode,ETagPairID,StartETagStatus,EndETagStatus,VehicleType,TravelTime,StandardDeviation,SpaceMeanSpeed,VehicleCount,StartTime,EndTime,DataCollectTime,vd_avg_Speed,vd_avg_Occupancy,vd_avg_Volume,vd_avg_VSpeed,vd_LaneID,vd_week_day,rain,temp
2025-05-29T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,96,0,97,38,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,108.5,1,4,107.5,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,96,0,97,38,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,102.5,2.5,4.5,101.5,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,96,0,97,38,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,97,1,3,95,2,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,99,0,93,9,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,108.5,1,4,107.5,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,99,0,93,9,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,102.5,2.5,4.5,101.5,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,99,0,93,9,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,97,1,3,95,2,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,57,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104,6,6,103,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,57,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,94,4,6,93,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,11,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104,6,6,103,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,11,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,94,4,6,93,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,41,37,0,75,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104,6,1,109,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,42,26,0,108,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104,6,1,109,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,220,0,100,61,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104.625,4.5,7,103.875,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,220,0,100,61,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,95.5,5,7.875,94.625,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,220,0,100,61,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,95,5,8.33333333333333,94.3333333333333,2,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,11,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104.625,4.5,7,103.875,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,11,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,95.5,5,7.875,94.625,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,32,220,0,100,11,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,95,5,8.33333333333333,94.3333333333333,2,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,41,237,0,93,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104.5,7,1.5,101.5,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,41,237,0,93,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,102,3,1,92,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,41,237,0,93,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,93,7,1,89,2,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,42,212,0,104,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104.5,7,1.5,101.5,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,42,212,0,104,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,102,3,1,92,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,42,212,0,104,1,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,93,7,1,89,2,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,31,350,0,100,57,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,104.090909090909,3.18181818181818,5.18181818181818,103.090909090909,0,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,31,350,0,100,57,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,97.7,4.8,6.8,96.7,1,6,0,20.5
2025-05-29T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,31,350,0,100,57,2025-05-29T16:00:00Z,2025-05-29T16:05:00Z,2025-05-29T16:05:00Z,92,3.5,4.25,92,2,6,0,20.5
