UpdateTime,UpdateInterval,AuthorityCode,ETagPairID,StartETagStatus,EndETagStatus,VehicleType,TravelTime,StandardDeviation,SpaceMeanSpeed,VehicleCount,StartTime,EndTime,DataCollectTime,vd_avg_Speed,vd_avg_Occupancy,vd_avg_Volume,vd_avg_VSpeed,vd_LaneID,vd_week_day,rain,temp
2025-05-25T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,31,94,0,97,22,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,88,1,1,87,0,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,31,94,0,97,22,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,121,1,1,120,1,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,31,94,0,97,22,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,111,1,2,110,2,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,32,92,0,100,5,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,88,1,1,87,0,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,32,92,0,100,5,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,121,1,1,120,1,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0200N-01H0174N,0,0,32,92,0,100,5,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,111,1,2,110,2,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,49,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,108,8,8,107,0,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,49,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,90,7,10,89,1,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,8,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,108,8,8,107,0,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0208N-01H0200N,0,0,32,28,0,100,8,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,90,7,10,89,1,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,215,0,104,54,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,110.25,3.375,5.125,107.125,0,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,215,0,104,54,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,101.125,3.625,6.25,100.25,1,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,31,215,0,104,54,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,96,6,9,95,2,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,216,0,104,7,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,110.25,3.375,5.125,107.125,0,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,216,0,104,7,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,101.125,3.625,6.25,100.25,1,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,32,216,0,104,7,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,96,6,9,95,2,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,41,236,0,93,1,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,113.5,4.5,2.5,124.5,0,1,0,20
2025-05-25T16:25:00Z,300,NFB,01H0271N-01H0208N,0,0,41,236,0,93,1,2025-05-25T16:00:00Z,2025-05-25T16:05:00Z,2025-05-25T16:05:00Z,102,6,1,101,1,1,0,20
